risk,place,year,count,score,rank
openssdp,om,2016,1050,47.18,118
openssdp,pa,2016,80950,76.65,27
openssdp,pe,2016,11150,63.21,66
openssdp,pf,2016,20,20.32,191
openssdp,pg,2016,50,26.53,177
openssdp,ph,2016,45210,72.7,41
openssdp,pk,2016,64530,75.12,33
openssdp,pl,2016,53230,73.81,37
openssdp,pm,2016,20,20.32,191
openssdp,pr,2016,1350,48.89,105
openssdp,ps,2016,2870,54.0,91
openssdp,pt,2016,3230,54.81,86
openssdp,py,2016,520,42.42,124
openssdp,qa,2016,490,42.01,129
openssdp,re,2016,370,40.11,136
openssdp,ro,2016,13000,64.25,62
openssdp,rs,2016,6590,59.64,75
openssdp,ru,2016,598190,90.22,5
openssdp,rw,2016,20,20.32,191
openssdp,sa,2016,2980,54.26,90
openssdp,sb,2016,100,31.24,165
openssdp,sc,2016,120,32.47,160
openssdp,sd,2016,1200,48.09,112
openssdp,se,2016,34830,70.93,46
openssdp,sg,2016,92180,77.54,26
openssdp,si,2016,1730,50.57,101
openssdp,sk,2016,7720,60.72,72
openssdp,sm,2016,190,35.59,148
openssdp,sn,2016,620,43.61,123
openssdp,so,2016,10,15.62,200
openssdp,sr,2016,5840,58.82,79
openssdp,ss,2016,10,15.62,200
openssdp,st,2016,10,15.62,200
openssdp,sv,2016,4130,56.47,81
openssdp,sx,2016,70,28.82,173
openssdp,sy,2016,3340,55.03,85
openssdp,sz,2016,50,26.53,177
openssdp,tc,2016,130,33.01,158
openssdp,tg,2016,20,20.32,191
openssdp,th,2016,138770,80.31,23
openssdp,tj,2016,140,33.52,155
openssdp,tn,2016,280190,85.08,15
openssdp,to,2016,20,20.32,191
openssdp,tr,2016,753050,91.78,2
openssdp,tt,2016,22800,68.06,55
openssdp,tw,2016,175420,81.9,20
openssdp,tz,2016,80,29.72,170
openssdp,ua,2016,230390,83.75,18
openssdp,ug,2016,100,31.24,165
openssdp,us,2016,739450,91.66,3
openssdp,uy,2016,324790,86.08,13
openssdp,uz,2016,2640,53.44,93
openssdp,vc,2016,3740,55.8,84
openssdp,ve,2016,565360,89.84,6
openssdp,vg,2016,50,26.53,177
openssdp,vi,2016,2460,52.96,95
openssdp,vn,2016,366520,86.9,10
openssdp,xk,2016,460,41.59,130
openssdp,xy,2016,28450,69.56,51
openssdp,ye,2016,410,40.81,132
openssdp,za,2016,11280,63.29,65
openssdp,zm,2016,320,39.12,140
openssdp,zw,2016,40,25.02,181
spam,ae,2016,400,58.29,30
spam,al,2016,310,55.81,33
spam,am,2016,20,29.14,114
spam,ao,2016,50,38.06,85
spam,ar,2016,820,65.27,17
spam,at,2016,120,46.57,62
spam,au,2016,140,48.07,57
spam,ba,2016,50,38.06,85
spam,bd,2016,370,57.53,31
spam,be,2016,40,35.89,92
spam,bg,2016,280,54.82,40
spam,bh,2016,60,39.83,79
spam,bj,2016,20,29.14,114
spam,bo,2016,350,56.99,32
spam,bq,2016,10,22.4,123
spam,br,2016,4320,81.44,7
spam,bs,2016,10,22.4,123
spam,bw,2016,120,46.57,62
spam,by,2016,80,42.63,73
spam,ca,2016,260,54.1,43
spam,ch,2016,90,43.78,70
spam,ci,2016,160,49.37,49
spam,cl,2016,310,55.81,33
spam,cm,2016,70,41.33,76
spam,cn,2016,3160,78.39,8
spam,co,2016,900,66.18,15
spam,cr,2016,60,39.83,79
spam,cy,2016,30,33.09,99
spam,cz,2016,150,48.75,51
spam,de,2016,760,64.53,18
spam,dk,2016,20,29.14,114
spam,do,2016,140,48.07,57
spam,dz,2016,80,42.63,73
spam,ec,2016,300,55.49,36
spam,ee,2016,20,29.14,114
spam,eg,2016,150,48.75,51
spam,es,2016,510,60.65,25
spam,et,2016,90,43.78,70
spam,fj,2016,30,33.09,99
spam,fr,2016,1460,70.88,13
spam,ga,2016,30,33.09,99
spam,gb,2016,540,61.21,24
spam,gh,2016,140,48.07,57
spam,gr,2016,30,33.09,99
spam,gt,2016,50,38.06,85
spam,hk,2016,880,65.96,16
spam,hn,2016,80,42.63,73
spam,hr,2016,30,33.09,99
spam,ht,2016,30,33.09,99
spam,hu,2016,29120,100.0,1
spam,id,2016,1530,71.34,12
spam,ie,2016,40,35.89,92
spam,il,2016,160,49.37,49
spam,im,2016,40,35.89,92
spam,in,2016,5860,84.4,5
spam,iq,2016,100,44.8,69
spam,ir,2016,2440,75.88,10
spam,it,2016,590,62.07,23
spam,jo,2016,90,43.78,70
spam,jp,2016,630,62.71,22
spam,ke,2016,150,48.75,51
spam,kh,2016,130,47.35,60
spam,ki,2016,10,22.4,123
spam,kr,2016,15250,93.71,3
spam,kw,2016,120,46.57,62
spam,kz,2016,150,48.75,51
spam,la,2016,10,22.4,123
spam,lb,2016,150,48.75,51
spam,lk,2016,30,33.09,99
spam,lr,2016,10,22.4,123
spam,lt,2016,70,41.33,76
spam,lu,2016,10,22.4,123
spam,lv,2016,20,29.14,114
spam,ly,2016,30,33.09,99
spam,ma,2016,40,35.89,92
spam,md,2016,20,29.14,114
spam,me,2016,20,29.14,114
spam,mk,2016,110,45.73,66
spam,ml,2016,10,22.4,123
spam,mm,2016,20,29.14,114
spam,mn,2016,110,45.73,66
spam,mr,2016,30,33.09,99
spam,mt,2016,10,22.4,123
spam,mu,2016,30,33.09,99
spam,mv,2016,10,22.4,123
spam,mw,2016,10,22.4,123
spam,mx,2016,15310,93.75,2
spam,my,2016,150,48.75,51
spam,mz,2016,40,35.89,92
spam,nc,2016,10,22.4,123
spam,ng,2016,60,39.83,79
spam,ni,2016,30,33.09,99
spam,nl,2016,300,55.49,36
spam,no,2016,120,46.57,62
spam,np,2016,70,41.33,76
spam,nz,2016,10,22.4,123
spam,pa,2016,60,39.83,79
spam,pe,2016,1100,68.13,14
spam,ph,2016,420,58.76,29
spam,pk,2016,740,64.27,19
spam,pl,2016,290,55.16,38
spam,pr,2016,440,59.21,28
spam,ps,2016,60,39.83,79
spam,pt,2016,110,45.73,66
spam,qa,2016,30,33.09,99
spam,re,2016,40,35.89,92
spam,ro,2016,280,54.82,40
spam,rs,2016,290,55.16,38
spam,ru,2016,2540,76.27,9
spam,rw,2016,50,38.06,85
spam,sa,2016,450,59.43,26
spam,sc,2016,10,22.4,123
spam,sd,2016,60,39.83,79
spam,se,2016,200,51.54,46
spam,sg,2016,240,53.32,45
spam,si,2016,10,22.4,123
spam,sk,2016,130,47.35,60
spam,sn,2016,50,38.06,85
spam,sv,2016,20,29.14,114
spam,sy,2016,10,22.4,123
spam,tg,2016,30,33.09,99
spam,th,2016,450,59.43,26
spam,tn,2016,310,55.81,33
spam,tr,2016,1570,71.59,11
spam,tt,2016,170,49.96,48
spam,tw,2016,640,62.86,21
spam,tz,2016,50,38.06,85
