risk,place,year,count,score,rank
openssdp,mr,2016,80,70.28,36
openssdp,ms,2016,110,68.12,44
openssdp,mt,2016,840,54.33,87
openssdp,mu,2016,66240,24.71,178
openssdp,mv,2016,1600,49.96,106
openssdp,mw,2016,100,68.76,40
openssdp,mx,2016,65300,24.8,176
openssdp,my,2016,348570,13.44,197
openssdp,mz,2016,400,59.36,73
openssdp,na,2016,180,64.78,57
openssdp,nc,2016,1110,52.44,93
openssdp,ne,2016,60,72.23,32
openssdp,ng,2016,160,65.58,55
openssdp,ni,2016,1260,51.58,97
openssdp,nl,2016,70920,24.24,179
openssdp,no,2016,28020,30.54,156
openssdp,np,2016,1200,51.91,95
openssdp,nz,2016,14760,34.89,148
openssdp,om,2016,1050,52.82,90
openssdp,pa,2016,80950,23.35,181
openssdp,pe,2016,11150,36.79,142
openssdp,pf,2016,20,79.68,9
openssdp,pg,2016,50,73.47,28
openssdp,ph,2016,45210,27.3,167
openssdp,pk,2016,64530,24.88,175
openssdp,pl,2016,53230,26.19,171
openssdp,pm,2016,20,79.68,9
openssdp,pr,2016,1350,51.11,102
openssdp,ps,2016,2870,46.0,117
openssdp,pt,2016,3230,45.19,122
openssdp,py,2016,520,57.58,84
openssdp,qa,2016,490,57.99,79
openssdp,re,2016,370,59.89,72
openssdp,ro,2016,13000,35.75,146
openssdp,rs,2016,6590,40.36,133
openssdp,ru,2016,598190,9.78,203
openssdp,rw,2016,20,79.68,9
openssdp,sa,2016,2980,45.74,118
openssdp,sb,2016,100,68.76,40
openssdp,sc,2016,120,67.53,46
openssdp,sd,2016,1200,51.91,95
openssdp,se,2016,34830,29.07,162
openssdp,sg,2016,92180,22.46,182
openssdp,si,2016,1730,49.43,107
openssdp,sk,2016,7720,39.28,136
openssdp,sm,2016,190,64.41,59
openssdp,sn,2016,620,56.39,85
openssdp,so,2016,10,84.38,1
openssdp,sr,2016,5840,41.18,129
openssdp,ss,2016,10,84.38,1
openssdp,st,2016,10,84.38,1
openssdp,sv,2016,4130,43.53,127
openssdp,sx,2016,70,71.18,35
openssdp,sy,2016,3340,44.97,123
openssdp,sz,2016,50,73.47,28
openssdp,tc,2016,130,66.99,49
openssdp,tg,2016,20,79.68,9
openssdp,th,2016,138770,19.69,185
openssdp,tj,2016,140,66.48,51
openssdp,tn,2016,280190,14.92,193
openssdp,to,2016,20,79.68,9
openssdp,tr,2016,753050,8.22,206
openssdp,tt,2016,22800,31.94,153
openssdp,tw,2016,175420,18.1,188
openssdp,tz,2016,80,70.28,36
openssdp,ua,2016,230390,16.25,190
openssdp,ug,2016,100,68.76,40
openssdp,us,2016,739450,8.34,205
openssdp,uy,2016,324790,13.92,195
openssdp,uz,2016,2640,46.56,115
openssdp,vc,2016,3740,44.2,124
openssdp,ve,2016,565360,10.16,202
openssdp,vg,2016,50,73.47,28
openssdp,vi,2016,2460,47.04,113
openssdp,vn,2016,366520,13.1,198
openssdp,xk,2016,460,58.41,78
openssdp,xy,2016,28450,30.44,157
openssdp,ye,2016,410,59.19,75
openssdp,za,2016,11280,36.71,143
openssdp,zm,2016,320,60.88,67
openssdp,zw,2016,40,74.98,25
spam,ae,2016,400,41.71,107
spam,al,2016,310,44.19,102
spam,am,2016,20,70.86,15
spam,ao,2016,50,61.94,46
spam,ar,2016,820,34.73,120
spam,at,2016,120,53.43,72
spam,au,2016,140,51.93,78
spam,ba,2016,50,61.94,46
spam,bd,2016,370,42.47,106
spam,be,2016,40,64.11,39
spam,bg,2016,280,45.18,95
spam,bh,2016,60,60.17,53
spam,bj,2016,20,70.86,15
spam,bo,2016,350,43.01,105
spam,bq,2016,10,77.6,1
spam,br,2016,4320,18.56,130
spam,bs,2016,10,77.6,1
spam,bw,2016,120,53.43,72
spam,by,2016,80,57.37,62
spam,ca,2016,260,45.9,94
spam,ch,2016,90,56.22,65
spam,ci,2016,160,50.63,87
spam,cl,2016,310,44.19,102
spam,cm,2016,70,58.67,59
spam,cn,2016,3160,21.61,129
spam,co,2016,900,33.82,122
spam,cr,2016,60,60.17,53
spam,cy,2016,30,66.91,24
spam,cz,2016,150,51.25,81
spam,de,2016,760,35.47,119
spam,dk,2016,20,70.86,15
spam,do,2016,140,51.93,78
spam,dz,2016,80,57.37,62
spam,ec,2016,300,44.51,100
spam,ee,2016,20,70.86,15
spam,eg,2016,150,51.25,81
spam,es,2016,510,39.35,112
spam,et,2016,90,56.22,65
spam,fj,2016,30,66.91,24
spam,fr,2016,1460,29.12,124
spam,ga,2016,30,66.91,24
spam,gb,2016,540,38.79,113
spam,gh,2016,140,51.93,78
spam,gr,2016,30,66.91,24
spam,gt,2016,50,61.94,46
spam,hk,2016,880,34.04,121
spam,hn,2016,80,57.37,62
spam,hr,2016,30,66.91,24
spam,ht,2016,30,66.91,24
spam,hu,2016,29120,0.0,136
spam,id,2016,1530,28.66,125
spam,ie,2016,40,64.11,39
spam,il,2016,160,50.63,87
spam,im,2016,40,64.11,39
spam,in,2016,5860,15.6,131
spam,iq,2016,100,55.2,68
spam,ir,2016,2440,24.12,127
spam,it,2016,590,37.93,114
spam,jo,2016,90,56.22,65
spam,jp,2016,630,37.29,115
spam,ke,2016,150,51.25,81
spam,kh,2016,130,52.65,76
spam,ki,2016,10,77.6,1
